Data/Hora,Protocolo,Arquivo,Duração(s),Throughput(KB/s)
2026-05-27 03:20:41,TCP,data/arquivo_teste.bin,0.0735,13935.97
2026-05-27 03:20:42,TCP,data/arquivo_teste.bin,0.0640,15994.31
2026-05-27 03:20:43,TCP,data/arquivo_teste.bin,0.0881,11627.03
2026-05-27 03:20:44,TCP,data/arquivo_teste.bin,0.0677,15123.82
2026-05-27 03:20:45,TCP,data/arquivo_teste.bin,0.0628,16317.77
2026-05-27 03:20:45,TCP,data/arquivo_teste.bin,0.0679,15072.71
2026-05-27 03:20:46,TCP,data/arquivo_teste.bin,0.0680,15065.62
2026-05-27 03:20:47,TCP,data/arquivo_teste.bin,0.0688,14878.16
2026-05-27 03:20:47,TCP,data/arquivo_teste.bin,0.0678,15099.31
2026-05-27 03:20:48,TCP,data/arquivo_teste.bin,0.0691,14823.06
2026-05-27 03:20:49,TCP,data/arquivo_teste.bin,0.0690,14841.55
2026-05-27 03:20:50,TCP,data/arquivo_teste.bin,0.0615,16648.39
2026-05-27 03:20:50,TCP,data/arquivo_teste.bin,0.0686,14930.14
2026-05-27 03:20:51,TCP,data/arquivo_teste.bin,0.0678,15100.00
2026-05-27 03:20:52,TCP,data/arquivo_teste.bin,0.0641,15985.73
2026-05-27 03:20:52,TCP,data/arquivo_teste.bin,0.0676,15153.70
2026-05-27 03:20:53,TCP,data/arquivo_teste.bin,0.0603,16974.21
2026-05-27 03:20:54,TCP,data/arquivo_teste.bin,0.0616,16622.29
2026-05-27 03:20:55,TCP,data/arquivo_teste.bin,0.0681,15031.45
2026-05-27 03:20:55,TCP,data/arquivo_teste.bin,0.0618,16564.72
2026-05-27 03:27:24,TCP,data/arquivo_teste.bin,0.3104,3298.69
2026-05-27 03:27:26,TCP,data/arquivo_teste.bin,1.6685,613.71
2026-05-27 03:27:30,TCP,data/arquivo_teste.bin,3.3645,304.35
2026-05-27 03:27:35,TCP,data/arquivo_teste.bin,3.5727,286.62
2026-05-27 03:27:42,TCP,data/arquivo_teste.bin,6.9334,147.69
2026-05-27 03:27:43,TCP,data/arquivo_teste.bin,0.3641,2812.29
2026-05-27 03:27:49,TCP,data/arquivo_teste.bin,5.1236,199.86
2026-05-27 03:27:51,TCP,data/arquivo_teste.bin,1.4141,724.11
2026-05-27 03:27:57,TCP,data/arquivo_teste.bin,5.6712,180.56
2026-05-27 03:28:00,TCP,data/arquivo_teste.bin,1.9592,522.66
2026-05-27 03:28:09,TCP,data/arquivo_teste.bin,8.0064,127.90
2026-05-27 03:28:15,TCP,data/arquivo_teste.bin,5.5539,184.38
2026-05-27 03:28:20,TCP,data/arquivo_teste.bin,4.8827,209.72
2026-05-27 03:28:25,TCP,data/arquivo_teste.bin,4.3753,234.04
2026-05-27 03:28:29,TCP,data/arquivo_teste.bin,3.2450,315.57
2026-05-27 03:28:36,TCP,data/arquivo_teste.bin,6.5362,156.67
2026-05-27 03:28:43,TCP,data/arquivo_teste.bin,6.3138,162.19
2026-05-27 03:28:49,TCP,data/arquivo_teste.bin,4.5880,223.19
2026-05-27 03:28:56,TCP,data/arquivo_teste.bin,6.7022,152.79
2026-05-27 03:28:58,TCP,data/arquivo_teste.bin,0.9653,1060.78
2026-05-27 03:30:55,TCP,data/arquivo_teste.bin,20.6176,49.67
2026-05-27 03:31:13,TCP,data/arquivo_teste.bin,16.9589,60.38
2026-05-27 03:31:34,TCP,data/arquivo_teste.bin,20.0561,51.06
2026-05-27 03:31:55,TCP,data/arquivo_teste.bin,20.3784,50.25
2026-05-27 03:32:11,TCP,data/arquivo_teste.bin,15.2160,67.30
2026-05-27 03:32:31,TCP,data/arquivo_teste.bin,19.5805,52.30
2026-05-27 03:32:58,TCP,data/arquivo_teste.bin,26.9379,38.01
2026-05-27 03:33:19,TCP,data/arquivo_teste.bin,20.3172,50.40
2026-05-27 03:33:43,TCP,data/arquivo_teste.bin,23.1785,44.18
2026-05-27 03:34:04,TCP,data/arquivo_teste.bin,20.3503,50.32
2026-05-27 03:34:21,TCP,data/arquivo_teste.bin,16.5757,61.78
2026-05-27 03:34:40,TCP,data/arquivo_teste.bin,17.5518,58.34
2026-05-27 03:35:05,TCP,data/arquivo_teste.bin,25.1987,40.64
2026-05-27 03:35:28,TCP,data/arquivo_teste.bin,22.2040,46.12
2026-05-27 03:35:54,TCP,data/arquivo_teste.bin,25.2211,40.60
2026-05-27 03:36:19,TCP,data/arquivo_teste.bin,24.6479,41.55
2026-05-27 03:36:40,TCP,data/arquivo_teste.bin,19.6339,52.15
2026-05-27 03:36:57,TCP,data/arquivo_teste.bin,16.2254,63.11
2026-05-27 03:37:22,TCP,data/arquivo_teste.bin,24.3575,42.04
2026-05-27 03:37:29,TCP,data/arquivo_teste.bin,6.3141,162.18
