Data/Hora,Protocolo,Arquivo,Duração(s),Throughput(KB/s)
2026-05-27 03:42:26,R-UDP,data/arquivo_teste.bin,2.9803,343.58
2026-05-27 03:42:30,R-UDP,data/arquivo_teste.bin,2.9875,342.76
2026-05-27 03:42:33,R-UDP,data/arquivo_teste.bin,2.9789,343.75
2026-05-27 03:42:37,R-UDP,data/arquivo_teste.bin,3.0036,340.93
2026-05-27 03:42:41,R-UDP,data/arquivo_teste.bin,2.9938,342.04
2026-05-27 03:42:44,R-UDP,data/arquivo_teste.bin,2.9693,344.86
2026-05-27 03:42:48,R-UDP,data/arquivo_teste.bin,2.9830,343.27
2026-05-27 03:42:51,R-UDP,data/arquivo_teste.bin,3.0070,340.54
2026-05-27 03:42:55,R-UDP,data/arquivo_teste.bin,2.9846,343.09
2026-05-27 03:42:59,R-UDP,data/arquivo_teste.bin,2.9778,343.88
2026-05-27 03:43:02,R-UDP,data/arquivo_teste.bin,2.9952,341.88
2026-05-27 03:43:06,R-UDP,data/arquivo_teste.bin,2.9909,342.37
2026-05-27 03:43:10,R-UDP,data/arquivo_teste.bin,2.9722,344.53
2026-05-27 03:43:13,R-UDP,data/arquivo_teste.bin,3.0228,338.76
2026-05-27 03:43:17,R-UDP,data/arquivo_teste.bin,3.0015,341.16
2026-05-27 03:43:21,R-UDP,data/arquivo_teste.bin,2.9713,344.63
2026-05-27 03:43:24,R-UDP,data/arquivo_teste.bin,2.9826,343.33
2026-05-27 03:43:28,R-UDP,data/arquivo_teste.bin,3.0408,336.75
2026-05-27 03:43:32,R-UDP,data/arquivo_teste.bin,2.9776,343.90
2026-05-27 03:43:35,R-UDP,data/arquivo_teste.bin,2.9810,343.51
2026-05-27 03:45:02,R-UDP,data/arquivo_teste.bin,28.0041,36.57
2026-05-27 03:45:39,R-UDP,data/arquivo_teste.bin,37.0369,27.65
2026-05-27 03:46:10,R-UDP,data/arquivo_teste.bin,30.5231,33.55
2026-05-27 03:46:41,R-UDP,data/arquivo_teste.bin,30.0112,34.12
2026-05-27 03:47:20,R-UDP,data/arquivo_teste.bin,37.9574,26.98
2026-05-27 03:47:54,R-UDP,data/arquivo_teste.bin,34.0342,30.09
2026-05-27 03:48:27,R-UDP,data/arquivo_teste.bin,31.4804,32.53
2026-05-27 03:49:03,R-UDP,data/arquivo_teste.bin,35.9733,28.47
2026-05-27 03:49:38,R-UDP,data/arquivo_teste.bin,33.9827,30.13
2026-05-27 03:50:16,R-UDP,data/arquivo_teste.bin,37.4398,27.35
2026-05-27 03:50:44,R-UDP,data/arquivo_teste.bin,27.4213,37.34
2026-05-27 03:51:22,R-UDP,data/arquivo_teste.bin,37.5525,27.27
2026-05-27 03:51:56,R-UDP,data/arquivo_teste.bin,32.4519,31.55
2026-05-27 03:52:28,R-UDP,data/arquivo_teste.bin,31.3853,32.63
2026-05-27 03:53:03,R-UDP,data/arquivo_teste.bin,34.9719,29.28
2026-05-27 03:53:37,R-UDP,data/arquivo_teste.bin,32.9991,31.03
2026-05-27 03:54:16,R-UDP,data/arquivo_teste.bin,38.4356,26.64
2026-05-27 03:54:55,R-UDP,data/arquivo_teste.bin,37.9287,27.00
2026-05-27 03:55:32,R-UDP,data/arquivo_teste.bin,36.4630,28.08
2026-05-27 03:56:05,R-UDP,data/arquivo_teste.bin,32.4605,31.55
2026-05-27 03:59:16,R-UDP,data/arquivo_teste.bin,68.4624,14.96
2026-05-27 04:00:26,R-UDP,data/arquivo_teste.bin,69.3532,14.76
2026-05-27 04:01:42,R-UDP,data/arquivo_teste.bin,75.0669,13.64
2026-05-27 04:02:53,R-UDP,data/arquivo_teste.bin,70.5543,14.51
2026-05-27 04:04:07,R-UDP,data/arquivo_teste.bin,73.5599,13.92
2026-05-27 04:05:20,R-UDP,data/arquivo_teste.bin,72.0039,14.22
2026-05-27 04:06:38,R-UDP,data/arquivo_teste.bin,77.0993,13.28
2026-05-27 04:07:49,R-UDP,data/arquivo_teste.bin,70.0400,14.62
2026-05-27 04:09:02,R-UDP,data/arquivo_teste.bin,73.0758,14.01
2026-05-27 04:10:24,R-UDP,data/arquivo_teste.bin,80.5800,12.71
2026-05-27 04:11:40,R-UDP,data/arquivo_teste.bin,75.5616,13.55
2026-05-27 04:13:01,R-UDP,data/arquivo_teste.bin,80.1806,12.77
2026-05-27 04:14:10,R-UDP,data/arquivo_teste.bin,68.5405,14.94
2026-05-27 04:15:24,R-UDP,data/arquivo_teste.bin,73.0567,14.02
2026-05-27 04:16:47,R-UDP,data/arquivo_teste.bin,82.6056,12.40
2026-05-27 04:17:53,R-UDP,data/arquivo_teste.bin,65.5271,15.63
2026-05-27 04:19:17,R-UDP,data/arquivo_teste.bin,83.1050,12.32
2026-05-27 04:20:35,R-UDP,data/arquivo_teste.bin,77.5522,13.20
2026-05-27 04:21:49,R-UDP,data/arquivo_teste.bin,73.0623,14.02
2026-05-27 04:23:08,R-UDP,data/arquivo_teste.bin,79.0501,12.95
