"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=31b0) [Reassembled in #3]"
"2","0.000009","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=31b0) [Reassembled in #3]"
"3","0.000012","172.18.0.3","172.18.0.2","UDP","1255","51914  >  5001 Len=4167"
"4","0.005064","172.18.0.2","172.18.0.3","UDP","119","5001  >  51914 Len=71"
"5","0.056368","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=31b1) [Reassembled in #7]"
"6","0.056377","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=31b1) [Reassembled in #7]"
"7","0.056379","172.18.0.3","172.18.0.2","UDP","1255","51914  >  5001 Len=4167"
"8","0.057003","172.18.0.2","172.18.0.3","UDP","119","5001  >  51914 Len=71"
"9","0.108303","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=31b4) [Reassembled in #11]"
"10","0.108313","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=31b4) [Reassembled in #11]"
"11","0.108315","172.18.0.3","172.18.0.2","UDP","1255","51914  >  5001 Len=4167"
"12","0.108898","172.18.0.2","172.18.0.3","UDP","119","5001  >  51914 Len=71"
"13","0.160140","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=31bc) [Reassembled in #15]"
"14","0.160153","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=31bc) [Reassembled in #15]"
"15","0.160154","172.18.0.3","172.18.0.2","UDP","1255","51914  >  5001 Len=4167"
"16","0.160797","172.18.0.2","172.18.0.3","UDP","119","5001  >  51914 Len=71"
"17","0.212053","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=31c8) [Reassembled in #19]"
"18","0.212064","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=31c8) [Reassembled in #19]"
"19","0.212067","172.18.0.3","172.18.0.2","UDP","1255","51914  >  5001 Len=4167"
"20","0.212808","172.18.0.2","172.18.0.3","UDP","119","5001  >  51914 Len=71"
"21","0.264358","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=31d3) [Reassembled in #23]"
"22","0.264368","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=31d3) [Reassembled in #23]"
"23","0.264371","172.18.0.3","172.18.0.2","UDP","1255","51914  >  5001 Len=4167"
