"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","e6:be:5e:ce:2e:a4","","ARP","48","Who has 172.18.0.2? Tell 172.18.0.3"
"2","0.000048","e6:be:5e:ce:2e:a4","","ARP","48","Who has 172.18.0.2? Tell 172.18.0.3"
"3","0.000121","ca:fe:b4:06:10:0a","","ARP","48","172.18.0.2 is at ca:fe:b4:06:10:0a"
"4","0.010164","172.18.0.3","172.18.0.2","TCP","80","54642  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2273622827 TSecr=0 WS=128"
"5","0.010330","172.18.0.2","172.18.0.3","TCP","80","5000  >  54642 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1826898938 TSecr=2273622827 WS=128"
"6","0.020413","172.18.0.3","172.18.0.2","TCP","72","54642  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2273622848 TSecr=1826898938"
"7","0.023600","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=2896 TSval=2273622851 TSecr=1826898938"
"8","0.023605","172.18.0.3","172.18.0.2","TCP","1272","54642  >  5000 [PSH, ACK] Seq=2897 Ack=1 Win=64256 Len=1200 TSval=2273622851 TSecr=1826898938"
"9","0.023607","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=4097 Ack=1 Win=64256 Len=2896 TSval=2273622851 TSecr=1826898938"
"10","0.023609","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=6993 Ack=1 Win=64256 Len=2896 TSval=2273622851 TSecr=1826898938"
"11","0.023610","172.18.0.3","172.18.0.2","TCP","1520","54642  >  5000 [ACK] Seq=9889 Ack=1 Win=64256 Len=1448 TSval=2273622851 TSecr=1826898938"
"12","0.023613","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=11337 Ack=1 Win=64256 Len=2896 TSval=2273622851 TSecr=1826898938"
"13","0.023769","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=2897 Win=71040 Len=0 TSval=1826898951 TSecr=2273622851"
"14","0.023799","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=4097 Win=73856 Len=0 TSval=1826898951 TSecr=2273622851"
"15","0.023809","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=6993 Win=79744 Len=0 TSval=1826898951 TSecr=2273622851"
"16","0.023823","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=9889 Win=85504 Len=0 TSval=1826898951 TSecr=2273622851"
"17","0.023841","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=11337 Win=87808 Len=0 TSval=1826898951 TSecr=2273622851"
"18","0.023851","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=14233 Win=84992 Len=0 TSval=1826898951 TSecr=2273622851"
"19","0.033848","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=14233 Ack=1 Win=64256 Len=2896 TSval=2273622861 TSecr=1826898951"
"20","0.033861","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=17129 Ack=1 Win=64256 Len=2896 TSval=2273622861 TSecr=1826898951"
"21","0.033863","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=20025 Ack=1 Win=64256 Len=2896 TSval=2273622861 TSecr=1826898951"
"22","0.033865","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=22921 Ack=1 Win=64256 Len=2896 TSval=2273622861 TSecr=1826898951"
"23","0.033867","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=25817 Ack=1 Win=64256 Len=2896 TSval=2273622861 TSecr=1826898951"
"24","0.033869","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=28713 Ack=1 Win=64256 Len=2896 TSval=2273622861 TSecr=1826898951"
"25","0.033871","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=31609 Ack=1 Win=64256 Len=2896 TSval=2273622861 TSecr=1826898951"
"26","0.033874","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=34505 Ack=1 Win=64256 Len=2896 TSval=2273622861 TSecr=1826898951"
"27","0.033876","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=37401 Ack=1 Win=64256 Len=2896 TSval=2273622861 TSecr=1826898951"
"28","0.033878","172.18.0.3","172.18.0.2","TCP","2968","54642  >  5000 [PSH, ACK] Seq=40297 Ack=1 Win=64256 Len=2896 TSval=2273622861 TSecr=1826898951"
"29","0.034080","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=17129 Win=93696 Len=0 TSval=1826898961 TSecr=2273622861"
"30","0.034082","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=22921 Win=91264 Len=0 TSval=1826898961 TSecr=2273622861"
"31","0.034107","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=20025 Win=94080 Len=0 TSval=1826898961 TSecr=2273622861"
"32","0.034143","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=25817 Win=88448 Len=0 TSval=1826898961 TSecr=2273622861"
"33","0.034167","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=28713 Win=85632 Len=0 TSval=1826898961 TSecr=2273622861"
"34","0.034189","172.18.0.2","172.18.0.3","TCP","72","5000  >  54642 [ACK] Seq=1 Ack=31609 Win=82816 Len=0 TSval=1826898961 TSecr=2273622861"
