"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.18.0.3","172.18.0.2","TCP","80","55750  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2274025193 TSecr=0 WS=128"
"2","0.000121","172.18.0.3","172.18.0.2","TCP","80","[TCP Retransmission] 55750  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2274025193 TSecr=0 WS=128"
"3","0.000312","172.18.0.2","172.18.0.3","TCP","80","5000  >  55750 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1827301333 TSecr=2274025193 WS=128"
"4","0.050472","172.18.0.3","172.18.0.2","TCP","72","55750  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2274025243 TSecr=1827301333"
"5","0.053977","172.18.0.3","172.18.0.2","TCP","2968","55750  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=2896 TSval=2274025247 TSecr=1827301333"
"6","0.053986","172.18.0.3","172.18.0.2","TCP","1272","55750  >  5000 [PSH, ACK] Seq=2897 Ack=1 Win=64256 Len=1200 TSval=2274025247 TSecr=1827301333"
"7","0.053990","172.18.0.3","172.18.0.2","TCP","2968","55750  >  5000 [PSH, ACK] Seq=4097 Ack=1 Win=64256 Len=2896 TSval=2274025247 TSecr=1827301333"
"8","0.053993","172.18.0.3","172.18.0.2","TCP","2968","55750  >  5000 [PSH, ACK] Seq=6993 Ack=1 Win=64256 Len=2896 TSval=2274025247 TSecr=1827301333"
"9","0.053995","172.18.0.3","172.18.0.2","TCP","1520","55750  >  5000 [ACK] Seq=9889 Ack=1 Win=64256 Len=1448 TSval=2274025247 TSecr=1827301333"
"10","0.053998","172.18.0.3","172.18.0.2","TCP","2968","55750  >  5000 [PSH, ACK] Seq=11337 Ack=1 Win=64256 Len=2896 TSval=2274025247 TSecr=1827301333"
"11","0.054398","172.18.0.2","172.18.0.3","TCP","72","5000  >  55750 [ACK] Seq=1 Ack=2897 Win=71040 Len=0 TSval=1827301387 TSecr=2274025247"
