"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.18.0.3","172.18.0.2","TCP","80","52362  >  5000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2274216222 TSecr=0 WS=128"
"2","0.000187","172.18.0.2","172.18.0.3","TCP","80","5000  >  52362 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1827492412 TSecr=2274216222 WS=128"
"3","0.100374","172.18.0.3","172.18.0.2","TCP","72","52362  >  5000 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2274216322 TSecr=1827492412"
"4","0.103969","172.18.0.3","172.18.0.2","TCP","2968","52362  >  5000 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=2896 TSval=2274216326 TSecr=1827492412"
"5","0.103976","172.18.0.3","172.18.0.2","TCP","1272","52362  >  5000 [PSH, ACK] Seq=2897 Ack=1 Win=64256 Len=1200 TSval=2274216326 TSecr=1827492412"
"6","0.103979","172.18.0.3","172.18.0.2","TCP","2968","52362  >  5000 [PSH, ACK] Seq=4097 Ack=1 Win=64256 Len=2896 TSval=2274216326 TSecr=1827492412"
"7","0.103981","172.18.0.3","172.18.0.2","TCP","2968","52362  >  5000 [PSH, ACK] Seq=6993 Ack=1 Win=64256 Len=2896 TSval=2274216326 TSecr=1827492412"
"8","0.103984","172.18.0.3","172.18.0.2","TCP","2968","[TCP Previous segment not captured] 52362  >  5000 [PSH, ACK] Seq=11337 Ack=1 Win=64256 Len=2896 TSval=2274216326 TSecr=1827492412"
"9","0.104189","172.18.0.2","172.18.0.3","TCP","72","5000  >  52362 [ACK] Seq=1 Ack=2897 Win=71040 Len=0 TSval=1827492516 TSecr=2274216326"
"10","0.104232","172.18.0.2","172.18.0.3","TCP","72","5000  >  52362 [ACK] Seq=1 Ack=4097 Win=73856 Len=0 TSval=1827492516 TSecr=2274216326"
"11","0.104247","172.18.0.2","172.18.0.3","TCP","72","5000  >  52362 [ACK] Seq=1 Ack=6993 Win=79744 Len=0 TSval=1827492516 TSecr=2274216326"
"12","0.104267","172.18.0.2","172.18.0.3","TCP","72","5000  >  52362 [ACK] Seq=1 Ack=9889 Win=85504 Len=0 TSval=1827492516 TSecr=2274216326"
"13","0.104288","172.18.0.2","172.18.0.3","TCP","84","[TCP Dup ACK 12#1] 5000  >  52362 [ACK] Seq=1 Ack=9889 Win=86784 Len=0 TSval=1827492516 TSecr=2274216326 SLE=11337 SRE=14233"
"14","0.204329","172.18.0.3","172.18.0.2","TCP","2968","[TCP Previous segment not captured] 52362  >  5000 [PSH, ACK] Seq=17129 Ack=1 Win=64256 Len=2896 TSval=2274216426 TSecr=1827492516"
"15","0.204340","172.18.0.3","172.18.0.2","TCP","2968","52362  >  5000 [PSH, ACK] Seq=20025 Ack=1 Win=64256 Len=2896 TSval=2274216426 TSecr=1827492516"
"16","0.204349","172.18.0.3","172.18.0.2","TCP","2968","52362  >  5000 [PSH, ACK] Seq=22921 Ack=1 Win=64256 Len=2896 TSval=2274216426 TSecr=1827492516"
"17","0.204351","172.18.0.3","172.18.0.2","TCP","2968","52362  >  5000 [PSH, ACK] Seq=25817 Ack=1 Win=64256 Len=2896 TSval=2274216426 TSecr=1827492516"
"18","0.204354","172.18.0.3","172.18.0.2","TCP","2968","52362  >  5000 [PSH, ACK] Seq=28713 Ack=1 Win=64256 Len=2896 TSval=2274216426 TSecr=1827492516"
"19","0.204357","172.18.0.3","172.18.0.2","TCP","2968","52362  >  5000 [PSH, ACK] Seq=31609 Ack=1 Win=64256 Len=2896 TSval=2274216426 TSecr=1827492516"
"20","0.204362","172.18.0.3","172.18.0.2","TCP","2968","52362  >  5000 [PSH, ACK] Seq=34505 Ack=1 Win=64256 Len=2896 TSval=2274216426 TSecr=1827492516"
