Data/Hora,Protocolo,Arquivo,Duração(s),Throughput(KB/s)
2026-05-23 22:55:43,TCP,data/arquivo_teste.bin,0.1085,9441.02
2026-05-23 22:55:44,TCP,data/arquivo_teste.bin,0.0817,12534.96
2026-05-23 22:55:45,TCP,data/arquivo_teste.bin,0.0774,13223.79
2026-05-23 22:55:46,TCP,data/arquivo_teste.bin,0.0793,12908.85
2026-05-23 22:55:47,TCP,data/arquivo_teste.bin,0.0793,12911.84
2026-05-23 22:55:48,TCP,data/arquivo_teste.bin,0.0861,11898.37
2026-05-23 22:55:49,TCP,data/arquivo_teste.bin,0.0743,13776.52
2026-05-23 22:55:50,TCP,data/arquivo_teste.bin,0.0788,12989.94
2026-05-23 22:55:51,TCP,data/arquivo_teste.bin,0.0783,13080.34
2026-05-23 22:55:52,TCP,data/arquivo_teste.bin,0.0777,13184.90
2026-05-23 22:55:53,TCP,data/arquivo_teste.bin,0.0783,13082.13
2026-05-23 22:55:54,TCP,data/arquivo_teste.bin,0.0787,13014.46
2026-05-23 22:55:55,TCP,data/arquivo_teste.bin,0.0775,13215.98
2026-05-23 22:55:56,TCP,data/arquivo_teste.bin,0.0790,12959.48
2026-05-23 22:55:57,TCP,data/arquivo_teste.bin,0.0766,13362.31
2026-05-23 22:55:58,TCP,data/arquivo_teste.bin,0.0788,12988.05
2026-05-23 22:55:59,TCP,data/arquivo_teste.bin,0.0779,13147.44
2026-05-23 22:56:00,TCP,data/arquivo_teste.bin,0.0805,12714.00
2026-05-23 22:56:01,TCP,data/arquivo_teste.bin,0.0802,12764.75
2026-05-23 22:56:02,TCP,data/arquivo_teste.bin,0.0715,14323.82
2026-05-23 22:56:06,R-UDP,data/arquivo_teste.bin,3.4289,298.64
2026-05-23 22:56:10,R-UDP,data/arquivo_teste.bin,3.3676,304.07
2026-05-23 22:56:14,R-UDP,data/arquivo_teste.bin,3.4134,300.00
2026-05-23 22:56:19,R-UDP,data/arquivo_teste.bin,3.3591,304.84
2026-05-23 22:56:23,R-UDP,data/arquivo_teste.bin,3.3988,301.28
2026-05-23 22:56:27,R-UDP,data/arquivo_teste.bin,3.4078,300.49
2026-05-23 22:56:32,R-UDP,data/arquivo_teste.bin,3.3743,303.47
2026-05-23 22:56:36,R-UDP,data/arquivo_teste.bin,3.3938,301.72
2026-05-23 22:56:40,R-UDP,data/arquivo_teste.bin,3.3671,304.12
2026-05-23 22:56:44,R-UDP,data/arquivo_teste.bin,3.3479,305.86
2026-05-23 22:56:48,R-UDP,data/arquivo_teste.bin,3.3577,304.97
2026-05-23 22:56:53,R-UDP,data/arquivo_teste.bin,3.3779,303.15
2026-05-23 22:56:57,R-UDP,data/arquivo_teste.bin,3.3800,302.96
2026-05-23 22:57:01,R-UDP,data/arquivo_teste.bin,3.3553,305.19
2026-05-23 22:57:05,R-UDP,data/arquivo_teste.bin,3.3461,306.03
2026-05-23 22:57:10,R-UDP,data/arquivo_teste.bin,3.3580,304.94
2026-05-23 22:57:14,R-UDP,data/arquivo_teste.bin,3.3731,303.58
2026-05-23 22:57:18,R-UDP,data/arquivo_teste.bin,3.3946,301.66
2026-05-23 22:57:22,R-UDP,data/arquivo_teste.bin,3.3841,302.59
2026-05-23 22:57:27,R-UDP,data/arquivo_teste.bin,3.3501,305.66
2026-05-23 22:57:33,TCP,data/arquivo_teste.bin,3.6771,278.48
2026-05-23 22:57:38,TCP,data/arquivo_teste.bin,3.9834,257.07
2026-05-23 22:57:48,TCP,data/arquivo_teste.bin,8.6622,118.21
2026-05-23 22:57:49,TCP,data/arquivo_teste.bin,0.7108,1440.66
2026-05-23 22:57:52,TCP,data/arquivo_teste.bin,2.0380,502.45
2026-05-23 22:57:57,TCP,data/arquivo_teste.bin,3.9932,256.44
2026-05-23 22:58:04,TCP,data/arquivo_teste.bin,6.1330,166.97
2026-05-23 22:58:07,TCP,data/arquivo_teste.bin,2.0292,504.63
2026-05-23 22:58:14,TCP,data/arquivo_teste.bin,6.4632,158.44
2026-05-23 22:58:18,TCP,data/arquivo_teste.bin,3.3873,302.31
2026-05-23 22:58:25,TCP,data/arquivo_teste.bin,5.6273,181.97
2026-05-23 22:58:30,TCP,data/arquivo_teste.bin,4.6547,219.99
2026-05-23 22:58:36,TCP,data/arquivo_teste.bin,5.6102,182.52
2026-05-23 22:58:38,TCP,data/arquivo_teste.bin,0.4733,2163.38
2026-05-23 22:58:45,TCP,data/arquivo_teste.bin,6.0016,170.62
2026-05-23 22:58:52,TCP,data/arquivo_teste.bin,6.1843,165.58
2026-05-23 22:58:54,TCP,data/arquivo_teste.bin,1.9274,531.28
2026-05-23 22:58:59,TCP,data/arquivo_teste.bin,3.6644,279.44
2026-05-23 22:59:00,TCP,data/arquivo_teste.bin,0.3235,3165.26
2026-05-23 22:59:01,TCP,data/arquivo_teste.bin,0.5811,1762.03
2026-05-23 22:59:35,R-UDP,data/arquivo_teste.bin,33.1451,30.89
2026-05-23 23:00:08,R-UDP,data/arquivo_teste.bin,31.6378,32.37
2026-05-23 23:00:42,R-UDP,data/arquivo_teste.bin,33.1506,30.89
2026-05-23 23:01:14,R-UDP,data/arquivo_teste.bin,31.6468,32.36
2026-05-23 23:01:54,R-UDP,data/arquivo_teste.bin,39.1656,26.15
2026-05-23 23:02:33,R-UDP,data/arquivo_teste.bin,37.7812,27.10
2026-05-23 23:03:09,R-UDP,data/arquivo_teste.bin,35.1975,29.09
2026-05-23 23:03:48,R-UDP,data/arquivo_teste.bin,38.6846,26.47
2026-05-23 23:04:17,R-UDP,data/arquivo_teste.bin,28.1314,36.40
2026-05-23 23:04:53,R-UDP,data/arquivo_teste.bin,35.1532,29.13
2026-05-23 23:05:30,R-UDP,data/arquivo_teste.bin,36.1560,28.32
2026-05-23 23:06:03,R-UDP,data/arquivo_teste.bin,32.6443,31.37
2026-05-23 23:06:41,R-UDP,data/arquivo_teste.bin,37.1980,27.53
2026-05-23 23:07:16,R-UDP,data/arquivo_teste.bin,34.1698,29.97
2026-05-23 23:07:53,R-UDP,data/arquivo_teste.bin,36.1860,28.30
2026-05-23 23:08:30,R-UDP,data/arquivo_teste.bin,35.1718,29.11
2026-05-23 23:09:03,R-UDP,data/arquivo_teste.bin,32.6452,31.37
2026-05-23 23:09:41,R-UDP,data/arquivo_teste.bin,37.1749,27.55
2026-05-23 23:10:16,R-UDP,data/arquivo_teste.bin,34.1659,29.97
2026-05-23 23:10:58,R-UDP,data/arquivo_teste.bin,41.1856,24.86
2026-05-23 23:11:20,TCP,data/arquivo_teste.bin,19.5463,52.39
2026-05-23 23:11:39,TCP,data/arquivo_teste.bin,17.7117,57.81
2026-05-23 23:12:00,TCP,data/arquivo_teste.bin,19.9003,51.46
2026-05-23 23:12:23,TCP,data/arquivo_teste.bin,22.6534,45.20
2026-05-23 23:12:42,TCP,data/arquivo_teste.bin,18.0949,56.59
2026-05-23 23:12:50,TCP,data/arquivo_teste.bin,7.0850,144.53
2026-05-23 23:13:19,TCP,data/arquivo_teste.bin,28.5655,35.85
2026-05-23 23:13:42,TCP,data/arquivo_teste.bin,22.0693,46.40
2026-05-23 23:13:59,TCP,data/arquivo_teste.bin,16.5964,61.70
2026-05-23 23:14:17,TCP,data/arquivo_teste.bin,16.6264,61.59
2026-05-23 23:14:39,TCP,data/arquivo_teste.bin,21.6375,47.33
2026-05-23 23:14:57,TCP,data/arquivo_teste.bin,17.4184,58.79
2026-05-23 23:15:24,TCP,data/arquivo_teste.bin,25.9332,39.49
2026-05-23 23:15:40,TCP,data/arquivo_teste.bin,15.0084,68.23
2026-05-23 23:16:06,TCP,data/arquivo_teste.bin,25.1315,40.75
2026-05-23 23:16:25,TCP,data/arquivo_teste.bin,18.6530,54.90
2026-05-23 23:16:47,TCP,data/arquivo_teste.bin,20.7129,49.44
2026-05-23 23:17:00,TCP,data/arquivo_teste.bin,12.7796,80.13
2026-05-23 23:17:22,TCP,data/arquivo_teste.bin,21.1098,48.51
2026-05-23 23:17:49,TCP,data/arquivo_teste.bin,25.5301,40.11
2026-05-23 23:18:57,R-UDP,data/arquivo_teste.bin,68.1445,15.03
2026-05-23 23:20:11,R-UDP,data/arquivo_teste.bin,73.1696,13.99
2026-05-23 23:21:31,R-UDP,data/arquivo_teste.bin,79.2011,12.93
2026-05-23 23:22:52,R-UDP,data/arquivo_teste.bin,79.7089,12.85
2026-05-23 23:24:05,R-UDP,data/arquivo_teste.bin,72.1713,14.19
2026-05-23 23:25:19,R-UDP,data/arquivo_teste.bin,73.6772,13.90
2026-05-23 23:31:49,R-UDP,data/arquivo_teste.bin,389.1975,2.63
2026-05-23 23:33:00,R-UDP,data/arquivo_teste.bin,70.1522,14.60
2026-05-23 23:34:04,R-UDP,data/arquivo_teste.bin,63.1123,16.23
2026-05-23 23:35:22,R-UDP,data/arquivo_teste.bin,77.1816,13.27
2026-05-23 23:36:36,R-UDP,data/arquivo_teste.bin,73.1665,14.00
2026-05-23 23:37:50,R-UDP,data/arquivo_teste.bin,73.1462,14.00
2026-05-23 23:39:04,R-UDP,data/arquivo_teste.bin,73.1520,14.00
2026-05-23 23:40:19,R-UDP,data/arquivo_teste.bin,74.1448,13.81
2026-05-23 23:41:27,R-UDP,data/arquivo_teste.bin,67.6386,15.14
2026-05-23 23:42:51,R-UDP,data/arquivo_teste.bin,82.6996,12.38
2026-05-23 23:44:03,R-UDP,data/arquivo_teste.bin,71.6640,14.29
2026-05-23 23:45:25,R-UDP,data/arquivo_teste.bin,80.7112,12.69
2026-05-23 23:46:41,R-UDP,data/arquivo_teste.bin,75.1855,13.62
2026-05-23 23:48:02,R-UDP,data/arquivo_teste.bin,80.1909,12.77
