Cenário,Protocolo,Duração(s),Throughput(KB/s)
Cenário A (0% perda),TCP,0.1222,6609.65
Cenário A (0% perda),TCP,0.1207,7935.84
Cenário A (0% perda),TCP,3.7947,245.19
Cenário A (0% perda),TCP,0.1098,8750.16
Cenário A (0% perda),TCP,0.1093,7444.36
Cenário A (0% perda),TCP,0.111,8299.36
Cenário A (0% perda),TCP,0.1146,7095.8
Cenário A (0% perda),TCP,0.1109,8223.58
Cenário A (0% perda),TCP,0.1078,8234.38
Cenário A (0% perda),TCP,0.1112,8906.71
Cenário A (0% perda),TCP,0.1292,6666.57
Cenário A (0% perda),TCP,0.1164,7733.15
Cenário A (0% perda),TCP,0.1163,8113.61
Cenário A (0% perda),TCP,0.117,7686.44
Cenário A (0% perda),TCP,0.1123,6850.58
Cenário A (0% perda),TCP,0.1184,7094.63
Cenário A (0% perda),TCP,0.1086,8925.58
Cenário A (0% perda),TCP,0.1118,8545.72
Cenário A (0% perda),TCP,0.1173,7861.45
Cenário A (0% perda),TCP,0.1078,7726.22
Cenário B (5% perda),TCP,5.0319,192.51
Cenário B (5% perda),TCP,6.5523,146.08
Cenário B (5% perda),TCP,10.0826,97.47
Cenário B (5% perda),TCP,2.7948,344.95
Cenário B (5% perda),TCP,1.9333,500.41
Cenário B (5% perda),TCP,4.8508,195.81
Cenário B (5% perda),TCP,6.9348,138.64
Cenário B (5% perda),TCP,4.4529,209.26
Cenário B (5% perda),TCP,7.0363,138.85
Cenário B (5% perda),TCP,5.053,187.58
Cenário B (5% perda),TCP,6.331,150.77
Cenário B (5% perda),TCP,5.4586,169.62
Cenário B (5% perda),TCP,6.1137,152.05
Cenário B (5% perda),TCP,1.846,516.74
Cenário B (5% perda),TCP,6.7554,141.59
Cenário B (5% perda),TCP,6.6857,141.38
Cenário B (5% perda),TCP,3.4636,271.04
Cenário B (5% perda),TCP,4.6727,205.95
Cenário B (5% perda),TCP,1.3747,704.86
Cenário B (5% perda),TCP,4.2337,225.11
Cenário C (10% perda),TCP,23.0035,41.62
Cenário C (10% perda),TCP,22.3772,43.05
Cenário C (10% perda),TCP,24.3497,39.67
Cenário C (10% perda),TCP,24.7585,39.25
Cenário C (10% perda),TCP,20.8336,46.83
Cenário C (10% perda),TCP,21.1956,45.58
Cenário C (10% perda),TCP,22.5137,38.28
Cenário C (10% perda),TCP,26.1051,37.23
Cenário C (10% perda),TCP,19.8007,48.17
Cenário C (10% perda),TCP,19.8681,49.37
Cenário C (10% perda),TCP,24.8977,38.45
