Protocolo,Cenario,Repeticao,Duracao(s),Throughput(KB/s)
R-UDP,A,1,2.963979,351.4701
R-UDP,A,2,2.972747,350.4335
R-UDP,A,3,2.964476,351.4112
R-UDP,A,4,2.987703,348.6792
R-UDP,A,5,2.979308,349.6617
R-UDP,A,6,2.954593,352.5866
R-UDP,A,7,2.969174,350.8552
R-UDP,A,8,2.992587,348.1102
R-UDP,A,9,2.97018,350.7363
R-UDP,A,10,2.962648,351.628
R-UDP,A,11,2.980913,349.4735
R-UDP,A,12,2.976557,349.9849
R-UDP,A,13,2.957973,352.1837
R-UDP,A,14,3.008623,346.2547
R-UDP,A,15,2.987321,348.7238
R-UDP,A,16,2.957162,352.2803
R-UDP,A,17,2.96796,350.9987
R-UDP,A,18,3.02662,344.1958
R-UDP,A,19,2.963498,351.5271
R-UDP,A,20,2.966339,351.1905
R-UDP,B,1,27.949716,37.2723
R-UDP,B,2,36.982761,28.1685
R-UDP,B,3,30.470604,34.1887
R-UDP,B,4,29.956324,34.7756
R-UDP,B,5,37.401337,27.8533
R-UDP,B,6,33.477974,31.1175
R-UDP,B,7,31.426157,33.1491
R-UDP,B,8,35.91882,29.0029
R-UDP,B,9,33.927404,30.7053
R-UDP,B,10,37.384729,27.8657
R-UDP,B,11,27.366064,38.0672
R-UDP,B,12,37.498301,27.7813
R-UDP,B,13,32.396081,32.1567
R-UDP,B,14,31.32929,33.2516
R-UDP,B,15,34.415515,30.1515
R-UDP,B,16,32.941922,31.2532
R-UDP,B,17,37.878445,26.9653
R-UDP,B,18,37.872449,27.2919
R-UDP,B,19,36.407235,28.3903
R-UDP,B,20,32.405849,31.8958
R-UDP,C,1,68.35721,15.2398
R-UDP,C,2,69.248638,15.0436
R-UDP,C,3,73.956493,14.086
R-UDP,C,4,70.44874,14.7873
R-UDP,C,5,73.454629,14.1822
R-UDP,C,6,71.898594,14.4892
R-UDP,C,7,76.992964,13.5305
R-UDP,C,8,69.934913,14.896
R-UDP,C,9,72.468294,14.2068
R-UDP,C,10,80.475145,12.8944
R-UDP,C,11,75.457336,13.7519
R-UDP,C,12,80.076011,13.0095
R-UDP,C,13,68.435946,15.2817
R-UDP,C,14,72.950275,14.2803
R-UDP,C,15,82.500455,12.6272
R-UDP,C,16,63.916468,15.9803
R-UDP,C,17,83.000732,12.404
R-UDP,C,18,76.443455,13.468
R-UDP,C,19,72.957136,14.1116
R-UDP,C,20,78.94412,12.9899
