"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=e2b9) [Reassembled in #3]"
"2","0.000009","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=e2b9) [Reassembled in #3]"
"3","0.000011","172.18.0.3","172.18.0.2","UDP","1255","39142  >  5001 Len=4167"
"4","0.005465","172.18.0.2","172.18.0.3","UDP","119","5001  >  39142 Len=71"
"5","0.017424","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=e2bd) [Reassembled in #7]"
"6","0.017432","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=e2bd) [Reassembled in #7]"
"7","0.017433","172.18.0.3","172.18.0.2","UDP","1255","39142  >  5001 Len=4167"
"8","0.017902","172.18.0.2","172.18.0.3","UDP","119","5001  >  39142 Len=71"
"9","0.029167","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=e2c0) [Reassembled in #11]"
"10","0.029171","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=e2c0) [Reassembled in #11]"
"11","0.029172","172.18.0.3","172.18.0.2","UDP","1255","39142  >  5001 Len=4167"
"12","0.029491","172.18.0.2","172.18.0.3","UDP","119","5001  >  39142 Len=71"
"13","0.040491","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=e2c1) [Reassembled in #15]"
"14","0.040495","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=e2c1) [Reassembled in #15]"
"15","0.040496","172.18.0.3","172.18.0.2","UDP","1255","39142  >  5001 Len=4167"
"16","0.040818","172.18.0.2","172.18.0.3","UDP","119","5001  >  39142 Len=71"
"17","0.051660","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=e2c3) [Reassembled in #19]"
"18","0.051664","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=e2c3) [Reassembled in #19]"
"19","0.051666","172.18.0.3","172.18.0.2","UDP","1255","39142  >  5001 Len=4167"
"20","0.052010","172.18.0.2","172.18.0.3","UDP","119","5001  >  39142 Len=71"
"21","0.062985","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=e2c5) [Reassembled in #23]"
"22","0.062990","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=e2c5) [Reassembled in #23]"
"23","0.062992","172.18.0.3","172.18.0.2","UDP","1255","39142  >  5001 Len=4167"
"24","0.063346","172.18.0.2","172.18.0.3","UDP","119","5001  >  39142 Len=71"
"25","0.074356","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=e2c8) [Reassembled in #27]"
"26","0.074361","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=e2c8) [Reassembled in #27]"
"27","0.074362","172.18.0.3","172.18.0.2","UDP","1255","39142  >  5001 Len=4167"
"28","0.074757","172.18.0.2","172.18.0.3","UDP","119","5001  >  39142 Len=71"
"29","0.085883","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=e2ca) [Reassembled in #31]"
"30","0.085888","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=e2ca) [Reassembled in #31]"
"31","0.085890","172.18.0.3","172.18.0.2","UDP","1255","39142  >  5001 Len=4167"
"32","0.086280","172.18.0.2","172.18.0.3","UDP","119","5001  >  39142 Len=71"
"33","0.097898","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=e2cc) [Reassembled in #35]"
"34","0.097904","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=e2cc) [Reassembled in #35]"
"35","0.097905","172.18.0.3","172.18.0.2","UDP","1255","39142  >  5001 Len=4167"
"36","0.098301","172.18.0.2","172.18.0.3","UDP","119","5001  >  39142 Len=71"
