"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b5e3) [Reassembled in #3]"
"2","0.000012","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b5e3) [Reassembled in #3]"
"3","0.000016","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
"4","0.005910","172.18.0.2","172.18.0.3","UDP","119","5001  >  39073 Len=71"
"5","0.107670","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b5ee) [Reassembled in #7]"
"6","0.107685","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b5ee) [Reassembled in #7]"
"7","0.107689","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
"8","0.108463","172.18.0.2","172.18.0.3","UDP","119","5001  >  39073 Len=71"
"9","0.209888","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b5ef) [Reassembled in #11]"
"10","0.209897","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b5ef) [Reassembled in #11]"
"11","0.209900","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
"12","0.210674","172.18.0.2","172.18.0.3","UDP","119","5001  >  39073 Len=71"
"13","0.312345","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b5fc) [Reassembled in #15]"
"14","0.312355","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b5fc) [Reassembled in #15]"
"15","0.312357","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
"16","0.312960","172.18.0.2","172.18.0.3","UDP","119","5001  >  39073 Len=71"
"17","0.414523","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b60c) [Reassembled in #19]"
"18","0.414535","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b60c) [Reassembled in #19]"
"19","0.414538","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
"20","0.415230","172.18.0.2","172.18.0.3","UDP","119","5001  >  39073 Len=71"
"21","0.517364","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b626) [Reassembled in #23]"
"22","0.517377","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b626) [Reassembled in #23]"
"23","0.517381","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
"24","0.518215","172.18.0.2","172.18.0.3","UDP","119","5001  >  39073 Len=71"
"25","0.619959","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b636)"
"26","0.619969","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b636)"
"27","1.121779","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b698) [Reassembled in #29]"
"28","1.121789","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b698) [Reassembled in #29]"
"29","1.121791","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
"30","1.122509","172.18.0.2","172.18.0.3","UDP","119","5001  >  39073 Len=71"
"31","1.223742","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b6a5)"
"32","1.223749","172.18.0.3","172.18.0.2","IPv4","1255","Fragmented IP protocol (proto=UDP 17, off=2960, ID=b6a5)"
"33","1.725707","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b712) [Reassembled in #35]"
"34","1.725714","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b712) [Reassembled in #35]"
"35","1.725716","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
"36","1.726146","172.18.0.2","172.18.0.3","UDP","119","5001  >  39073 Len=71"
"37","1.827095","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b729) [Reassembled in #39]"
"38","1.827107","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b729) [Reassembled in #39]"
"39","1.827109","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
"40","1.827520","172.18.0.2","172.18.0.3","UDP","119","5001  >  39073 Len=71"
"41","1.928551","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b72d) [Reassembled in #43]"
"42","1.928564","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b72d) [Reassembled in #43]"
"43","1.928565","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
"44","1.929195","172.18.0.2","172.18.0.3","UDP","119","5001  >  39073 Len=71"
"45","2.028186","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b72f)"
"46","2.028192","172.18.0.3","172.18.0.2","IPv4","1255","Fragmented IP protocol (proto=UDP 17, off=2960, ID=b72f)"
"47","2.531054","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b795) [Reassembled in #49]"
"48","2.531062","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b795) [Reassembled in #49]"
"49","2.531064","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
"50","2.531733","172.18.0.2","172.18.0.3","UDP","119","5001  >  39073 Len=71"
"51","2.633202","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=0, ID=b7a7) [Reassembled in #53]"
"52","2.633212","172.18.0.3","172.18.0.2","IPv4","1520","Fragmented IP protocol (proto=UDP 17, off=1480, ID=b7a7) [Reassembled in #53]"
"53","2.633216","172.18.0.3","172.18.0.2","UDP","1255","39073  >  5001 Len=4167"
